,NGA,RelTime,SPC1,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money
202,Sogdiana,-3000,0.26234712,4.032443453,3.212599823,3.808243465,2.477247729,0.1,0.390909091,0.0,0.0,0.9
203,Sogdiana,-2900,0.26234712,4.032443453,3.212599823,3.808243465,2.477247729,0.1,0.390909091,0.0,0.0,0.9
204,Sogdiana,-2800,0.26234712,4.032443453,3.212599823,3.808243465,2.477247729,0.1,0.390909091,0.0,0.0,0.9
205,Sogdiana,-2700,0.26234712,4.032443453,3.212599823,3.808243465,2.477247729,0.1,0.390909091,0.0,0.0,0.9
206,Sogdiana,-2600,0.26234712,4.032443453,3.212599823,3.808243465,2.477247729,0.1,0.390909091,0.0,0.0,0.9
207,Sogdiana,-2500,0.26234712,4.032443453,3.212599823,3.808243465,2.477247729,0.1,0.390909091,0.0,0.0,0.9
208,Sogdiana,-2400,0.26234712,4.032443453,3.212599823,3.808243465,2.477247729,0.1,0.390909091,0.0,0.0,0.9
209,Sogdiana,-2300,0.26234712,4.032443453,3.212599823,3.808243465,2.477247729,0.1,0.390909091,0.0,0.0,0.9
210,Sogdiana,-2200,0.26234712,4.032443453,3.212599823,3.808243465,2.477247729,0.1,0.390909091,0.0,0.0,0.9
211,Sogdiana,-2100,0.26234712,4.032443453,3.212599823,3.808243465,2.477247729,0.1,0.390909091,0.0,0.0,0.9
212,Sogdiana,-2000,0.26234712,4.032443453,3.212599823,3.808243465,2.477247729,0.1,0.390909091,0.0,0.0,0.9
213,Sogdiana,-1900,0.26234712,4.032443453,3.212599823,3.808243465,2.477247729,0.1,0.390909091,0.0,0.0,0.9
214,Sogdiana,-1800,0.26234712,4.032443453,3.212599823,3.808243465,2.477247729,0.1,0.390909091,0.0,0.0,0.9
